Car,Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 12000 Miles,Electricity cost,Euro Standard,Noise Level dB(A),Emissions CO [mg/km],THC Emissions [mg/km],Emissions NOx [mg/km]
ALFA ROMEO MiTo- 2012 onwards 875 cc TB TwinAir 105 bhp,ALFA ROMEO,MiTo- 2012 onwards,875 cc TB TwinAir 105 bhp,M6,875,Petrol,5.0,3.8,4.2,56.5,74.3,67.3,99,1119,0,6,74,316,41,34
AUDI New A3 1.4 TFSI 140PS,AUDI,New A3,1.4 TFSI 140PS,M6,1395,Petrol,5.8,4.1,4.7,48.7,68.9,60.1,109,1253,0,6,70,614,53,26
AUDI New A3 1.4 TFSI 140PS 7speed S tronic,AUDI,New A3,1.4 TFSI 140PS 7speed S tronic,D7,1395,Petrol,5.9,4.1,4.7,47.9,68.9,60.1,110,1253,0,6,68,603,52,35
AUDI New A3 1.8 TFSI 180PS 7speed S tronic,AUDI,New A3,1.8 TFSI 180PS 7speed S tronic,D7,1798,Petrol,7.0,4.8,5.6,40.4,58.9,50.4,129,1494,0,6,69,340,53,27
AUDI New A3 2.0 CR TDI 184PS ,AUDI,New A3,2.0 CR TDI 184PS ,M6,1968,Diesel,4.9,3.6,4.1,57.6,78.5,68.9,108,1148,0,6,72,257,0,69
AUDI New A3 2.0 CR TDI quattro 184PS S tronic,AUDI,New A3,2.0 CR TDI quattro 184PS S tronic,QD6,1968,Diesel,5.6,4.3,4.8,50.4,65.7,58.9,125,1343,0,6,69,153,0,71
AUDI New A3 S3 2.0 TFSI quattro 300PS,AUDI,New A3,S3 2.0 TFSI quattro 300PS,QM6,1984,Petrol,9.1,5.8,7.0,31.0,48.7,40.4,162,1863,0,6,72,330,44,16
AUDI New A3 S3 2.0 TFSI quattro 300PS S tronic,AUDI,New A3,S3 2.0 TFSI quattro 300PS S tronic,QD6,1984,Petrol,8.8,5.9,6.9,32.1,47.9,40.9,159,1841,0,6,73,354,36,30
AUDI New A3 Sportback 1.8 TFSI 180PS,AUDI,New A3 Sportback,1.8 TFSI 180PS,M6,1798,Petrol,7.4,4.9,5.8,38.2,57.6,48.7,135,1546,0,6,70,341,34,19
AUDI New A3 Sportback 1.8 TFSI quattro 180PS S tronic,AUDI,New A3 Sportback,1.8 TFSI quattro 180PS S tronic,QD6,1781,Petrol,8.2,5.6,6.6,34.4,50.4,42.8,152,1759,0,6,69,356,48,9
AUDI New A3 Sportback 2.0 TDI 184PS,AUDI,New A3 Sportback,2.0 TDI 184PS,M6,1968,Diesel,5.2,3.7,4.2,54.3,76.3,67.3,110,1175,0,6,72,257,0,69
AUDI New A3 Sportback 2.0 TDI 184PS quattro S tronic,AUDI,New A3 Sportback,2.0 TDI 184PS quattro S tronic,QD6,1968,Diesel,5.8,4.4,4.9,48.7,64.2,57.6,129,1373,0,6,69,153,0,71
AUDI New A3 Sportback 2.0 TFSI quattro 280PS,AUDI,New A3 Sportback,2.0 TFSI quattro 280PS,QM6,1984,Petrol,9.1,5.8,7.0,31.0,48.7,40.4,162,1863,0,6,72,330,44,16
AUDI New A3 Sportback 2.0 TFSI quattro 280PS S tronic,AUDI,New A3 Sportback,2.0 TFSI quattro 280PS S tronic,D6,1984,Petrol,8.8,5.9,6.9,32.1,47.9,40.9,159,1841,0,6,73,354,37,10
AUDI New A3 Sportback S3 2.0 TFSI quattro 300PS ,AUDI,New A3 Sportback,S3 2.0 TFSI quattro 300PS ,QM6,1984,Petrol,9.1,5.8,7.0,31.0,48.7,40.4,162,1863,0,6,72,330,44,16
AUDI New A3 Cabriolet 1.4 FSI 125PS,AUDI,New A3 Cabriolet,1.4 FSI 125PS,M6,1395,Petrol,6.7,4.5,5.3,42.2,62.8,53.3,124,1412,0,6,72,165,29,52
AUDI New A3 Cabriolet 1.4 FSI 125PS 7speed S-tronic,AUDI,New A3 Cabriolet,1.4 FSI 125PS 7speed S-tronic,D7,1395,Petrol,6.4,4.4,5.1,44.1,64.2,55.4,119,1359,0,6,72,111,28,30
AUDI New A3 Cabriolet 1.4 FSI 140PS,AUDI,New A3 Cabriolet,1.4 FSI 140PS,M6,1395,Petrol,6.1,4.3,5.0,46.3,65.7,56.5,114,1332,0,6,70,568,49,42
AUDI New A3 Cabriolet 1.4 FSI 140PS 7speed DSG,AUDI,New A3 Cabriolet,1.4 FSI 140PS 7speed DSG,D7,1395,Petrol,6.0,4.3,4.9,47.1,65.7,57.6,114,1307,0,6,68,312,45,34
AUDI New A3 Cabriolet 1.8 TFSI quattro 180PS S-tronic,AUDI,New A3 Cabriolet,1.8 TFSI quattro 180PS S-tronic,QD6,1798,Petrol,8.4,5.6,6.6,33.6,50.4,42.8,154,1759,0,6,69,390,47,11
AUDI New A3 Cabriolet 1.8 TFSI 180PS 7speed S-tronic,AUDI,New A3 Cabriolet,1.8 TFSI 180PS 7speed S-tronic,D7,1798,Petrol,7.3,4.8,5.8,38.7,58.9,48.7,133,1546,0,6,69,366,53,15
AUDI New A3 Cabriolet 2.0 TDI 150PS,AUDI,New A3 Cabriolet,2.0 TDI 150PS,M6,1968,Diesel,5.1,3.7,4.2,55.4,76.3,67.3,110,1175,0,6,72,144,0,66
AUDI New A3 Cabriolet 2.0 TDI quattro 150PS,AUDI,New A3 Cabriolet,2.0 TDI quattro 150PS,QM6,1968,Diesel,5.8,4.2,4.8,48.7,67.3,58.9,125,1343,0,6,72,144,0,73
AUDI New A3 Cabriolet 2.0 TDI 150PS S-tronic,AUDI,New A3 Cabriolet,2.0 TDI 150PS S-tronic,D6,1968,Diesel,5.4,4.2,4.7,52.3,67.3,60.1,122,1316,0,6,72,80,0,60
AUDI A5 Coupe 2.0 TFSI quattro 225PS,AUDI,A5 Coupe,2.0 TFSI quattro 225PS,QM6,1984,Petrol,8.8,5.3,6.6,32.1,53.3,42.8,152,1759,0,6,74,376,33,26
AUDI A5 Cabriolet 2.0 TFSI 225PS,AUDI,A5 Cabriolet,2.0 TFSI 225PS,M6,1984,Petrol,8.1,5.2,6.3,34.9,54.3,44.8,148,1680,0,6,75,321,36,17
AUDI A5 Cabriolet 2.0 TFSI 225PS quattro S-Tronic,AUDI,A5 Cabriolet,2.0 TFSI 225PS quattro S-Tronic,QD7,1984,Petrol,8.6,5.9,6.9,32.8,47.9,40.9,159,1841,0,6,74,295,64,32
AUDI A5 Sportback 1.8 TFSI 170PS Stop-Start,AUDI,A5 Sportback,1.8 TFSI 170PS Stop-Start,M6,1798,Petrol,7.5,4.9,5.8,37.7,57.6,48.7,136,1546,0,6,71,342,51,42
AUDI A5 Sportback 1.8 TFSI 170PS Multitronic Stop-Start,AUDI,A5 Sportback,1.8 TFSI 170PS Multitronic Stop-Start,AV,1798,Petrol,7.0,5.2,5.9,40.4,54.3,47.9,136,1572,0,6,70,195,49,42
AUDI A5 Sportback 2.0 TFSI quattro 225PS Stop-Start,AUDI,A5 Sportback,2.0 TFSI quattro 225PS Stop-Start,QM6,1984,Petrol,8.8,5.3,6.6,32.1,53.3,42.8,152,1759,0,6,74,367,33,27
AUDI A5 Sportback 2.0 TFSI quattro 225PS 7speed S tronic,AUDI,A5 Sportback,2.0 TFSI quattro 225PS 7speed S tronic,QD7,1984,Petrol,8.5,5.6,6.7,33.2,50.4,42.2,155,1784,0,6,74,295,64,32
AUDI A6 Allroad 3.0 V6 TDI quattro 245PS S-tronic,AUDI,A6 Allroad,3.0 V6 TDI quattro 245PS S-tronic,QD7,2967,Diesel,7.4,5.6,6.3,38.2,50.4,44.8,165,1766,0,6,71,235,0,73
AUDI New A8 3.0 TDI V6 quattro 258PS SWB Stop-Start,AUDI,New A8,3.0 TDI V6 quattro 258PS SWB Stop-Start,QA8,2967,Diesel,7.3,5.1,5.9,38.7,55.4,47.9,155,1651,0,6,70,218,0,53
AUDI New A8 3.0 TDI V6 quattro 258PS LWB Stop-Start,AUDI,New A8,3.0 TDI V6 quattro 258PS LWB Stop-Start,QA8,2967,Diesel,7.5,5.2,6.0,37.7,54.3,47.1,158,1679,0,6,70,218,0,53
AUDI New A8 3.0 TFSI V6 quattro 392PS SWB Stop-Start,AUDI,New A8,3.0 TFSI V6 quattro 392PS SWB Stop-Start,QA8,2995,Petrol,10.5,6.3,7.8,26.9,44.8,36.2,183,2080,0,6,73,452,42,18
