Food,Water g/100g,Protein g/100g,Total fat g/100g,Ash g/100g,Carbohydrate g/100g,Energy (kcal)/100g,Energy (KJ)/100g,Englyst fibre g/100g,AOAC fibre g/100g,Starch g/100g,Total sugars g/100g,Glucose g/100g,Fructose g/100g,Sucrose g/100g,Maltose g/100g,Lactose g/100g,Oligosaccharid g/100g,Saturated fatty acids g/100g,Cis-monounsaturated fatty acids g/100g,Cis-n3 fatty acids g/100g,Cis-n6 fatty acids g/100g,Cis-polyunsaturated fatty acids g/100g,Trans fatty acids g/100g,Cholesterol mg/100g,Category
Potatoes-old-raw-flesh only,78.1,1.9,0.1,0.9,19.6,82,349,0.8,2,18.7,0.9,0.5,0.4,0.1,0.1,0.1,0,0.03,0.01,0.01,0.01,0.01,0.01,0,Fruit and Veg
Potatoes-old-boiled-flesh only,78.9,1.8,0.1,0.8,17.5,74,315,1,1.6,16.7,0.8,0.3,0.3,0.2,0.1,0.1,0,0,0,0,0,0,0,0,Fruit and Veg
Potatoes-old-baked-flesh and skin,71,2.5,0.2,1.3,22.6,97,413,1.4,2.6,21.2,1.4,0.6,0.5,0.3,0.1,0.1,0,0,0,0,0,0,0,0,Fruit and Veg
Potatoes-old-roasted-flesh only,64.9,0,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fruit and Veg
Potatoes-new-boiled-flesh and skin,81.5,1.8,0.6,1.1,14.9,68,291,0.9,1.8,13.8,1.1,0.5,0.4,0.2,0.1,0.1,0,0,0,0,0,0,0,0,Fruit and Veg
Carrots-old-raw,89,0.5,0.4,0.6,7.7,34,146,2.1,3.9,0.1,7.2,1.1,1.1,5,0.1,0.1,0.3,0.1,0.11,0.01,0.07,0.08,0.01,0,Fruit and Veg
Carrots-old-boiled,90,0.5,0.5,0.5,0,0,0,2.1,2.8,0.3,5.5,0.9,0.7,3.9,0.1,0.1,0,0,0,0,0,0,0,0,Fruit and Veg
Onions-raw,89.1,1,0.1,0.4,8,35,150,1.1,2.2,0,6.2,2.3,1.8,2.1,0.1,0.1,1.8,0,0,0,0,0,0,0,Fruit and Veg
Onions-fried,79.9,1.2,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fruit and Veg
Broccoli (calabrese)-raw,88.2,4.3,0.6,0.6,3.2,34,146,2.5,4,0.6,1.9,0.7,1.2,0.1,0.1,0.1,0.7,0.15,0.06,0.17,0.08,0.25,0.01,0,Fruit and Veg
Broccoli (calabrese)-boiled,90.8,3.3,0.5,0.5,0,0,0,2.3,2.8,0.7,1.6,0.8,0.8,0.1,0.1,0.1,0,0,0,0,0,0,0,0,Fruit and Veg
Broccoli (calabrese)-steamed,88.4,4.1,0.5,1,0,0,0,2.6,3.8,0.8,2,0.8,0.9,0.3,0.1,0.1,0,0,0,0,0,0,0,0,Fruit and Veg
Mushrooms-raw,92.9,1,0.2,0.7,0.3,7,29,1.2,0.7,0.1,0.3,0.1,0.3,0.1,0.1,0.1,0,0,0,0,0,0,0,0,Fruit and Veg
Mushrooms-stewed,93.1,1.4,0.3,0.6,0.1,9,37,2,2.6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,Fruit and Veg
Sweetcorn-kernels-boiled 'on the cob',76,3.6,1.9,0.8,9.5,67,284,2.6,5.1,6.8,2.5,2.4,0.1,0.1,0.1,0.1,0.2,0,0,0,0,0,0,0,Fruit and Veg
Cabbage-white-raw,90.1,1.2,0.1,0.7,4.8,24,101,2,3,0.1,4.8,2.4,2.1,0.3,0.1,0.1,0,0,0,0,0,0,0,0,Fruit and Veg
Cabbage-green-raw,88.4,2.4,0.2,0.8,4.1,27,114,2.7,4.1,0.1,4.1,2,1.8,0.3,0.1,0.1,0,0,0,0,0,0,0,0,Fruit and Veg
Cabbage-green-boiled,91.9,1.5,0.2,0.5,2.3,17,70,2.6,2.2,0.1,2.3,1,0.9,0.4,0.1,0.1,0,0,0,0,0,0,0,0,Fruit and Veg
Cauliflower-raw,91.1,2.5,0.4,0.7,4.4,30,128,1.8,1.8,0.2,2.9,1.2,1.3,0.4,0.1,0.1,1.3,0,0,0,0,0,0,0,Fruit and Veg
Cauliflower-boiled,92.3,1.9,0.9,0.6,0,0,0,1.6,1.9,0.1,2.4,0.9,1,0.5,0.1,0.1,0,0,0,0,0,0,0,0,Fruit and Veg
Beans-green-raw,91.3,2.1,0.4,0.7,3.1,24,102,2.5,3.4,1,2.2,0.8,1.4,0.1,0.1,0.1,0,0,0,0,0,0,0,0,Fruit and Veg
Beans-green-boiled,89.6,2.1,0.3,0.8,4,26,108,2.5,4.1,0.9,3,1.3,1.2,0.5,0.1,0.1,0,0,0,0,0,0,0,0,Fruit and Veg
Pak choi-steamed,94.8,1.5,0.1,0.7,1.9,14,58,0,2,0.4,1.5,0.8,0.6,0.1,0.1,0.1,0,0,0,0,0,0,0,0,Fruit and Veg
Tomatoes (standard)-raw,94.6,0.5,0.1,0.4,3,14,61,1,1,0.1,3,1.4,1.6,0.1,0.1,0.1,0,0,0,0,0,0,0,0,Fruit and Veg
Tomatoes-cherry-raw,91.4,1.1,0.5,0.9,3.6,22,94,1.2,1.3,0,3.6,1.6,2,0.1,0.1,0.1,0,0,0,0,0,0,0,0,Fruit and Veg
Lettuce-average-raw,96.1,1.2,0.1,0.4,1.4,11,48,1.3,1.5,0,1.4,0.6,0.8,0.1,0.1,0.1,0,0,0,0,0,0,0,0,Fruit and Veg
Spinach-baby-raw,93.5,2.6,0.6,2,0.2,16,69,1.2,1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,Fruit and Veg
Rocket-raw,93.1,3.6,0.4,1.5,0.1,18,74,1.3,1.7,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,Fruit and Veg
Cucumber-flesh and skin-raw,96.5,1,0.6,0.4,1.2,14,60,0.7,0.7,0.1,1.2,0.5,0.7,0.1,0.1,0.1,0,0,0,0,0,0,0,0,Fruit and Veg
