2012 Rank,2011,2010,2009,Institution,Uni group,Hesa code,2012 max tuition fee,2009/10 full-time first degree students,2008/09 drop-out rate,Average Teaching Score,NSS Teaching (%),NSS Overall (%),Student:staff ratio,Career prospects (%),Entry Tariff,NSS Feedback (%)
2,1,1,1,Oxford,Russell,156,9000,11417,1.2,97.9,93,94,10.8,81,535,70
1,2,2,2,Cambridge,Russell,114,9000,11836,0.9,100.0,90,91,11.7,82,556,72
4,8,5,3,London School of Economics,Russell,137,,3903,3.9,84.7,81,80,11.8,81,512,63
6,3,4,4,Warwick,Russell,163,9000,11849,4.3,81.8,88,89,14.1,69,480,61
3,4,3,5,St Andrews,1994 Group,173,,6067,3.3,85.3,95,93,13.3,73,484,68
10,7,8,6,Imperial College,Russell,132,9000,8572,5.6,74.1,84,85,10.9,83,514,51
5,5,6,7,UCL,Russell,149,9000,11777,3.2,82.5,87,87,9.7,77,474,62
13,11,12,8,SOAS,1994 Group,146,9000,2500,7.6,73.7,88,84,11.1,62,418,65
16,15,7,9,Edinburgh,Russell,167,,17297,3.9,70.6,87,85,14.4,70,437,51
9,9,10,10,Loughborough,1994 Group ,152,9000,11279,3.8,75.5,88,89,17.1,67,389,72
15,9,11,11,York,1994 Group,164,,9054,4.1,72.7,90,87,14.9,64,435,69
7,6,16,12,Lancaster,1994 Group,123,9000,8128,5.3,79.1,88,87,13.8,68,407,66
14,13,9,13,Bath,1994 Group,109,9000,8843,2.4,73.6,86,86,16.1,75,456,61
11,14,13,14,Exeter,1994 Group,119,9000,11589,2.1,73.8,91,90,20.0,64,437,71
17,12,15,14,Leicester,1994 Group,125,9000,9075,6.3,70.4,88,89,14.7,67,398,71
8,17,14,16,Durham,1994 Group,116,9000,11201,2.0,77.2,87,88,15.3,76,485,66
26,22,19,17,Dundee,,172,,8647,7.3,67.8,88,87,14.3,65,347,68
34,36,19,18,Aston,,108,9000,7001,3.9,64.2,81,83,17.1,73,369,59
19,21,26,19,Nottingham,Russell,155,9000,20020,4.5,69.5,87,87,14.2,74,426,62
21,23,17,20,Glasgow,Russell,168,,15451,7.3,69.2,90,89,14.5,69,405,65
30,25,24,21,King's College London,Russell,134,9000,11452,4.9,66.6,87,85,12.0,79,444,61
19,20,27,22,Surrey,1994 Group,161,9000,7781,5.4,69.5,84,83,19.0,74,388,62
45,33,34,23,Aberdeen,,170,,10260,6.5,60.3,87,88,15.8,67,330,64
41,51,32,24,Manchester,Russell,204,9000,26188,5.0,61.4,83,80,15.4,67,421,52
28,18,22,25,Southampton,Russell,160,9000,13759,2.9,67.1,86,86,13.6,63,427,60
22,24,21,26,City,,115,9000,6298,11.5,68.8,80,80,17.6,65,359,61
37,35,28,27,Leeds,Russell,124,9000,22083,4.3,63.0,85,83,14.9,63,408,61
23,27,45,28,Kent,,122,9000,12340,6.2,68.3,86,87,14.4,65,328,67
29,25,38,29,Strathclyde,,169,,12070,9.2,66.9,85,85,18.0,66,391,60
24,30,24,30,Birmingham,Russell,110,9000,17160,4.3,68.1,88,87,15.4,67,420,62
25,33,29,31,Bristol,Russell,112,9000,12466,2.2,67.9,89,84,13.5,75,465,57
39,46,44,32,Cardiff,Russell,179,,16306,3.6,61.5,87,86,15.0,71,404,58
11,15,18,33,Sussex,1994 Group,162,9000,7761,4.7,73.8,93,91,16.1,66,378,72
35,41,31,34,Royal Holloway,1994 Group,141,9000,6629,4.6,63.7,87,85,15.7,59,378,65
39,43,48,35,Essex,1994 Group,118,9000,8016,9.3,61.5,86,87,15.6,54,304,67
33,31,30,36,Sheffield,Russell,159,9000,16048,3.6,64.5,88,88,14.9,69,425,63
42,38,32,37,Bournemouth,University Alliance,50,9000,10374,7.3,60.8,82,77,23.6,58,295,65
44,27,36,37,Stirling,,174,,6892,6.5,60.7,88,89,19.3,60,296,69
32,45,41,39,Reading,1994 Group,157,9000,8581,5.6,65.4,86,87,15.5,63,367,63
18,19,35,40,UEA,1994 Group,117,9000,9075,5.5,69.8,90,90,14.9,61,381,68
67,53,42,41,Nottingham Trent,University Alliance,71,,18471,7.3,53.9,78,80,19.7,57,286,62
62,58,39,42,Goldsmiths,1994 Group,131,9000,4520,10.8,54.9,88,81,17.6,48,325,62
31,37,40,43,Newcastle,Russell,154,9000,13819,3.1,66.3,87,87,15.3,72,409,63
49,39,47,44,Liverpool,Russell,126,9000,13756,5.1,59.3,84,83,13.2,66,399,59
50,56,49,46,Queen's Belfast,Russell,184,,13206,7.7,58.8,86,85,14.8,63,361,59
36,46,57,47,Queen Mary,1994 Group,139,9000,10591,10.8,63.6,84,85,13.6,67,385,66
47,49,51,48,Plymouth,University Alliance,73,9000,14177,6.7,60.1,83,78,16.5,61,295,63
52,55,43,49,Edinburgh Napier,Million+,107,,9603,14.2,58.5,81,80,21.6,66,296,62
38,27,36,50,Robert Gordon,,104,,6934,10.8,62.6,83,83,19.0,76,294,65
97,89,85,51,Newman University College,Guild HE,28,,1814,11.0,45.8,86,83,17.7,63,235,74
27,32,22,52,Heriot-Watt,,171,,5763,7.3,67.7,84,87,19.1,68,334,62
75,59,52,53,Hull,,120,9000,11295,8.2,52.2,87,87,20.1,60,306,68
82,75,53,54,Brunel,,113,,10435,7.9,50.1,76,75,20.2,54,325,59
74,79,66,55,Glasgow Caledonian,University Alliance,106,,10860,11.8,52.5,82,83,20.9,53,299,60
90,66,63,56,Birmingham City,Million +,52,,11986,10.0,48.4,78,73,20.9,65,261,63
42,48,56,57,Oxford Brookes,University Alliance,72,9000,9452,5.3,60.8,86,85,18.1,59,307,67
68,76,80,58,Glamorgan,University Alliance,90,,10131,10.2,53.7,81,78,20.2,48,278,67
61,64,63,59,Gloucestershire,Million+,54,8250,5610,6.0,55.1,82,78,20.6,55,258,68
88,79,75,59,Ulster,,185,,15259,10.0,48.9,80,82,17.0,51,264,62
79,65,72,61,Bangor,,178,,7119,6.7,50.8,87,86,20.7,54,286,67
70,69,82,62,Falmouth,Million+,53,9000,13687,11.5,53.4,83,83,18.4,55,259,70
73,78,74,63,Brighton,,51,9000,10861,11.0,52.8,82,80,18.8,53,288,65
86,74,84,63,Bradford,University Alliance,111,9000,7862,11.5,49.4,80,83,17.5,66,264,63
65,67,60,65,Bath Spa,Million + ,48,9000,4043,5.5,54.2,86,79,21.1,43,291,71
59,62,59,66,UWE Bristol,University Alliance,81,,17584,8.3,55.5,83,80,20.7,58,276,64
77,69,55,67,Staffordshire,Million+,77,,8403,9.7,51.9,82,82,21.7,56,239,66
50,49,71,69,Aberystwyth,University Alliance,177,9000,6697,5.6,58.8,92,92,18.1,51,297,72
82,86,68,70,St Mary's UC Twickenham,Guild HE,39,8000,2817,8.5,50.1,89,84,22.1,57,244,70
91,84,83,71,Anglia Ruskin,Million +,47,8300,8738,9.9,47.8,77,70,22.7,50,252,67
48,52,62,72,Sunderland,Million+,78,8500,7667,13.3,59.7,83,82,15.8,51,244,68
85,85,78,73,Portsmouth,University Alliance,74,8500,15348,7.8,49.9,85,84,20.5,52,282,66
105,92,91,74,Worcester,Guild HE,46,8100,4141,8.6,44.2,81,78,21.9,53,265,64
63,87,75,75,Coventry,Million+,56,9000,12555,8.9,54.5,80,78,15.7,56,294,65
55,67,53,76,Northumbria,University Alliance,69,8500,15450,8.1,56.9,82,82,20.3,65,298,66
71,57,65,77,UWIC,University Alliance,89,,6828,8.5,53.1,81,82,20.7,51,266,68
65,71,67,78,Sheffield Hallam,University Alliance,75,8500,18043,6.8,54.2,81,79,19.8,57,286,63
63,94,100,79,Northampton,Million + ,27,,6355,9.4,54.5,85,82,22.9,49,236,70
80,79,90,80,Chester,,11,9000,5888,9.3,50.5,83,78,17.2,58,270,68
60,79,69,81,Teesside,University Alliance,79,8500,7158,9.2,55.2,82,82,19.5,57,266,72
93,73,77,82,De Montfort,University Alliance,68,9000,12233,10.7,47.3,82,82,17.5,47,256,68
94,93,95,83,Swansea,,180,,10018,5.3,47.1,84,84,16.5,56,311,64
114,99,100,84,Newport,University Alliance,86,,3164,11.5,39.1,79,72,22.5,51,249,69
109,100,93,86,Salford,University Alliance,158,9000,12341,7.1,41.7,80,78,23.8,51,278,64
58,42,81,87,Chichester,,82,8500,3089,6.7,56.2,87,84,16.6,51,286,70
92,98,73,88,Kingston,Million +,63,9000,15244,9.1,47.5,81,80,19.9,48,241,62
53,54,96,89,Huddersfield,University Alliance,61,7950,10594,12.4,58.0,81,78,18.4,64,266,72
107,107,103,89,Canterbury Christ Church,,12,,7288,7.9,43.1,84,82,18.6,60,246,64
102,103,88,91,Bedfordshire,Million+,26,,7902,12.8,44.5,81,76,19.1,57,187,64
108,104,97,92,Manchester Met,Million + ,66,9000,22778,11.4,42.7,79,75,20.6,52,270,63
109,108,99,94,Marjon (St Mark and St John),Guild HE,14,7800,1872,10.0,41.7,86,83,26.2,59,237,67
69,96,94,95,Winchester,Guild HE,21,8500,3973,7.7,53.6,83,79,17.7,49,274,67
89,83,85,95,Cumbria,Guild HE,38,8400,4729,10.6,48.7,78,70,15.3,63,259,65
102,101,102,97,Leeds Met,Million+,64,8500,16302,8.6,44.5,78,77,20.6,51,267,62
94,91,105,98,Derby,Million+,57,7995,9297,11.3,47.1,82,79,20.5,48,247,67
72,60,97,100,Hertfordshire,University Alliance,60,8500,15375,6.9,52.9,83,82,18.5,54,242,65
57,72,89,101,Lincoln,University Alliance,62,9000,8283,5.9,56.3,84,83,19.7,53,288,70
87,105,110,102,Westminster,,83,9000,11813,11.3,49.0,75,73,17.1,49,271,60
102,95,92,103,Glyndŵr,,87,,2670,12.4,44.5,81,74,22.5,62,219,69
78,88,104,104,Edge Hill,,16,9000,6663,12.7,50.9,86,83,18.5,59,258,74
97,106,108,106,Roehampton,Million+,31,8250,5301,8.1,45.8,82,79,18.8,54,258,60
96,90,87,107,York St John,Million + ,13,8500,3681,0.0,46.5,85,81,21.2,48,280,72
75,112,106,108,Middlesex,Million+,67,9000,11572,15.5,52.2,78,78,21.0,51,206,66
111,109,112,109,Liverpool John Moores,University Alliance,65,9000,14889,11.1,40.6,77,77,20.9,48,258,61
112,115,115,109,Southampton Solent,Million + ,37,7800,9186,11.1,39.4,79,76,21.5,42,262,67
115,117,116,111,East London,Million+,58,9000,12987,7.3,36.9,77,76,23.3,43,197,63
99,102,109,112,Greenwich,Million+,59,,12194,12.7,45.7,84,84,23.3,50,209,72
112,113,113,114,Bucks New University,Million +,9,8000,3718,9.8,39.4,75,69,22.3,46,210,63
100,114,117,116,London South Bank,Million+,76,8450,8228,10.8,45.3,82,81,23.3,44,198,65
116,116,114,117,Bolton,Million +,49,8400,3403,17.4,35.7,82,78,20.4,40,221,66
46,40,61,-,UC Falmouth,Ukadia/ Guild HE,17,9000,2848,6.3,60.2,82,77,23.5,47,279,71
54,44,50,-,Keele,,121,9000,5951,5.7,57.3,88,89,14.5,62,309,68
84,110,111,,Leeds Trinity University College,Guild HE,40,8000,2293,10.9,50.0,88,84,22.8,66,246,69
101,-,78,,Trinity Saint David,,176,,2595,16.4,45.2,83,78,18.7,58,249,65
117,-,,,UC Suffolk,,210,8000,2184,14.4,35.6,80,71,25.4,53,232,67
119,118,-,,London Met,Million+,202,9000,11566,19.3,29.2,72,67,19.7,39,216,53
