Institute of Education,Total students,Total FE students,FE Full-time,FE Part-time,Total PG students,PG Full-time,PG Part-time,PG UK,PG EU,PG Non-EU,Total UG students,UG Full-time,UG Part-time,UG UK,UG EU,UG Non-EU
Anglia Ruskin University,19830,0,0,0,2215,800,1415,1650,210,355,17615,10100,7515,15600,1140,880
Aston University,10490,0,0,0,2730,1855,875,1185,265,1280,7760,7235,525,6200,365,1195
Bath Spa University,8160,0,0,0,2790,710,2080,2740,15,35,5370,4775,595,5205,70,95
The University of Bath,13380,0,0,0,4070,1545,2525,2400,435,1240,9305,8890,415,7295,805,1210
University of Bedfordshire,17280,0,0,0,4040,2770,1270,1385,320,2340,13240,8735,4505,10730,1290,1215
Birkbeck College,18285,0,0,0,3635,760,2875,3100,265,275,14645,220,14425,13575,550,525
Birmingham City University,24850,495,330,165,3725,1380,2345,2735,110,885,20630,14220,6410,19460,370,800
The University of Birmingham,29185,0,0,0,10690,5685,5005,6960,710,3020,18495,16740,1755,16675,545,1275
University College Birmingham,10715,6425,1635,4790,485,390,90,100,55,325,3810,2950,860,3180,240,390
Bishop Grosseteste University College Lincoln,2200,0,0,0,705,45,660,685,0,20,1495,1455,40,1485,0,5
The University of Bolton,8955,785,220,570,1380,520,865,1170,40,175,6785,3705,3080,6305,160,320
The Arts University College at Bournemouth,4205,1905,0,1905,20,20,0,15,0,5,2275,2160,110,2060,95,120
Bournemouth University,17965,0,0,0,2330,1305,1025,1310,255,765,15635,11565,4070,14690,450,495
The University of Bradford,12740,0,0,0,3255,1440,1815,1790,205,1260,9485,8130,1350,7650,780,1050
The University of Brighton,20975,0,0,0,4125,1510,2615,3345,265,515,16850,13110,3735,15135,1100,615
The University of Bristol,21720,720,0,720,5790,4050,1735,3385,645,1760,15210,12465,2740,13640,455,1115
Brunel University,15090,0,0,0,4255,2645,1610,2000,460,1800,10830,10185,645,9570,335,925
Buckinghamshire New University,9570,105,105,0,700,220,480,495,15,195,8765,4600,4165,7675,620,475
The University of Buckingham,1060,0,0,0,320,285,30,145,30,145,740,695,45,285,55,400
The University of Cambridge,22820,0,0,0,7095,5615,1480,3735,1070,2290,15725,11910,3815,13650,825,1245
The Institute of Cancer Research,290,0,0,0,290,110,180,230,25,30,0,0,0,0,0,0
Canterbury Christ Church University,16755,0,0,0,4135,1465,2670,3880,95,160,12620,7665,4955,11590,710,315
The University of Central Lancashire,28130,0,0,0,3535,1270,2265,2680,135,720,24595,16265,8330,22080,585,1925
Central School of Speech and Drama,855,0,0,0,315,285,30,220,35,60,540,540,0,500,20,20
University of Chester,13485,0,0,0,3215,655,2560,3010,65,140,10270,7245,3025,10095,125,55
The University of Chichester,5010,0,0,0,1115,310,805,1100,5,10,3890,3185,705,3770,55,65
The City University,21725,0,0,0,7050,4265,2785,3995,980,2075,14680,8050,6625,12390,880,1410
Conservatoire for Dance and Drama,1190,35,35,0,90,50,40,65,15,10,1065,1055,10,805,155,110
Courtauld Institute of Art,425,0,0,0,260,235,25,140,40,80,165,165,0,140,20,5
Coventry University,20230,115,115,0,4070,2160,1910,2025,345,1695,16045,12055,3990,13965,920,1155
Cranfield University,5320,0,0,0,5320,3165,2155,2700,1275,1345,0,0,0,0,0,0
University for the Creative Arts,7585,2305,1300,1005,215,135,80,125,25,65,5070,4775,295,4515,360,195
University of Cumbria,13105,0,0,0,2690,1075,1615,2565,105,20,10415,5205,5210,10220,170,25
De Montfort University,21585,675,0,675,3820,1055,2765,2905,170,750,17090,13835,3255,16315,250,520
University of Derby,22725,5690,1165,4525,2905,640,2265,2480,135,295,14130,10015,4115,12905,640,585
University of Durham,16845,0,0,0,5475,3800,1675,3000,470,2005,11370,11145,225,10390,250,730
The University of East Anglia,15290,0,0,0,3080,2200,880,2010,225,845,12210,10035,2175,10865,365,980
The University of East London,26315,0,0,0,6795,3485,3310,4310,320,2165,19520,13055,6460,17280,690,1550
Edge Hill University,24340,0,0,0,10735,640,10100,10645,70,20,13605,6905,6700,13480,60,60
The University of Essex,12295,0,0,0,2740,1805,940,1385,380,975,9555,7945,1610,7640,685,1235
The University of Exeter,16195,0,0,0,4710,3275,1435,3075,370,1270,11485,11065,420,10080,365,1035
University College Falmouth,3180,150,135,15,320,160,160,280,25,15,2705,2660,50,2550,75,80
University of Gloucestershire,9635,380,160,220,2230,635,1595,1965,80,185,7025,5820,1205,6640,150,235
Goldsmiths College,7815,160,70,90,2155,1330,825,1460,295,400,5500,4905,595,4800,385,320
The University of Greenwich,26120,0,0,0,5570,2795,2775,2625,205,2740,20550,13700,6850,17940,715,1895
Guildhall School of Music and Drama,750,0,0,0,250,160,95,125,75,50,495,495,0,360,105,30
Harper Adams University College,4445,0,0,0,120,40,80,85,0,35,4325,1615,2710,4175,65,85
University of Hertfordshire,25195,75,0,75,5280,2580,2700,3360,165,1760,19840,15800,4040,17435,380,2020
Heythrop College,895,0,0,0,465,70,390,400,20,45,430,415,15,390,20,20
The University of Huddersfield,21590,0,0,0,3855,1110,2745,3290,130,435,17735,11790,5945,16915,450,370
The University of Hull,22370,0,0,0,3325,2025,1300,1945,240,1140,19045,11585,7460,17355,595,1095
Imperial College of Science-Technology and Medicine,14150,0,0,0,5570,4345,1225,3165,1065,1345,8580,8580,0,5605,815,2160
Institute of Education,7250,0,0,0,6505,1940,4565,5280,445,780,750,125,625,670,35,45
The University of Keele,10365,0,0,0,1935,590,1345,1465,145,330,8430,6160,2270,7870,140,420
The University of Kent,18295,0,0,0,2655,1395,1260,1750,290,615,15640,11920,3715,13535,925,1180
King's College London,22275,0,0,0,8120,4690,3430,5390,1020,1710,14155,12085,2070,12015,840,1305
Kingston University,25930,145,145,0,6250,2760,3495,4240,460,1550,19535,17475,2060,17255,1020,1260
The University of Lancaster,12695,0,0,0,3265,1865,1400,1950,345,970,9430,8040,1390,8040,590,800
Leeds College of Music,680,0,0,0,40,25,15,35,0,5,635,635,0,610,15,15
Leeds Metropolitan University,27800,0,0,0,4140,1515,2620,3150,185,805,23660,17775,5885,22640,505,515
The University of Leeds,32370,0,0,0,8675,6140,2535,4690,700,3285,23695,22015,1680,21990,485,1220
Leeds Trinity University College,3445,0,0,0,505,230,275,465,20,25,2935,2350,585,2845,20,70
The University of Leicester,16505,0,0,0,6395,2590,3805,4590,315,1490,10110,8705,1405,8855,465,790
The University of Lincoln,13830,2365,300,2065,1460,490,970,1185,120,155,10000,8025,1975,9395,515,90
Liverpool Hope University,6980,35,0,35,1375,685,690,1100,45,230,5570,4380,1190,5335,140,95
Liverpool John Moores University,25995,0,0,0,4930,2040,2885,3650,170,1110,21070,15990,5080,19250,545,1275
The Liverpool Institute for Performing Arts,920,0,0,0,90,15,70,80,0,5,835,655,180,665,40,130
The University of Liverpool,19950,0,0,0,3545,2150,1395,2270,260,1015,16400,13480,2920,14905,420,1075
University of the Arts-London,28790,12975,3900,9075,2900,2045,860,1455,550,900,12915,12350,565,8615,1285,3015
London Business School,1780,0,0,0,1780,940,840,490,275,1010,0,0,0,0,0,0
University of London (Institutes and activities),420,0,0,0,420,260,155,265,60,95,0,0,0,0,0,0
London Metropolitan University,26380,0,0,0,6875,3175,3700,4320,695,1860,19505,13310,6195,16250,1595,1660
London South Bank University,24280,280,75,205,5840,1625,4215,4480,350,1010,18165,9965,8200,16570,740,855
London School of Economics and Political Science,9575,0,0,0,5325,4815,505,950,1365,3010,4250,4200,50,2070,440,1740
London School of Hygiene and Tropical Medicine,1190,0,0,0,1190,695,495,600,125,465,0,0,0,0,0,0
Loughborough University,17165,1035,1015,20,4010,2325,1690,2135,350,1525,12120,11810,305,10925,290,900
The Manchester Metropolitan University,34515,185,185,0,6610,2810,3800,5570,335,705,27720,24245,3475,25760,770,1190
The University of Manchester,38190,0,0,0,10545,6900,3645,6315,775,3455,27645,26070,1575,23075,1180,3390
Middlesex University,21350,0,0,0,4895,2440,2455,2600,405,1890,16450,13120,3335,13940,1050,1465
The University of Newcastle-upon-Tyne,19575,0,0,0,5160,3695,1465,2955,445,1755,14415,14325,90,12620,485,1310
Newman University College,2775,0,0,0,175,20,155,170,5,0,2600,1920,680,2560,40,0
The University of Northampton,12680,0,0,0,2160,800,1360,1565,50,545,10520,7100,3420,9945,150,420
The University of Northumbria at Newcastle,32665,375,245,130,7205,3045,4160,4450,275,2475,25090,17830,7255,22190,495,2405
Norwich University College of the Arts,1320,0,0,0,115,20,95,105,10,5,1205,1190,10,1185,15,5
The University of Nottingham,32925,0,0,0,8415,6235,2180,4190,830,3395,24510,21710,2800,20835,925,2750
The Nottingham Trent University,24905,0,0,0,4660,1975,2685,3375,230,1055,20245,17840,2405,19075,315,850
Oxford Brookes University,18615,445,290,155,4185,1610,2575,3120,290,775,13985,11030,2955,11940,770,1270
The University of Oxford,23760,0,0,0,7855,6635,1220,3535,1190,3130,15905,11500,4405,14205,695,1005
University College Plymouth St Mark and St John,4080,0,0,0,1910,235,1675,1860,15,35,2170,2090,75,2090,20,55
The University of Plymouth,30930,0,0,0,4090,1145,2945,3500,220,370,26840,18820,8020,25410,670,760
The University of Portsmouth,21605,230,230,0,4115,1620,2490,2715,410,990,17265,15055,2210,15560,615,1085
Queen Mary and Westfield College,14025,0,0,0,3075,2010,1060,1730,385,960,10950,10905,50,9160,480,1315
Ravensbourne College of Design and Communication,1465,295,295,0,30,25,5,20,5,10,1140,1140,0,1025,40,75
The University of Reading,15955,0,0,0,5095,2315,2780,3255,525,1315,10860,9030,1835,9690,465,710
Roehampton University,8910,0,0,0,2345,1320,1025,1845,130,375,6560,6050,515,6205,160,200
Rose Bruford College,970,0,0,0,40,20,25,25,10,10,930,635,295,820,50,55
Royal Academy of Music,715,0,0,0,395,395,0,210,85,100,320,320,0,195,45,80
Royal Agricultural College,970,0,0,0,200,180,20,125,10,60,770,735,35,715,20,40
Royal College of Art,990,0,0,0,990,945,45,600,240,155,0,0,0,0,0,0
Royal College of Music,645,0,0,0,285,245,40,135,65,80,360,355,5,230,70,60
Royal Holloway and Bedford New College,8760,0,0,0,1800,1335,470,1010,200,590,6955,6590,370,5160,715,1080
Royal Northern College of Music,740,0,0,0,210,200,10,120,20,70,530,530,0,455,25,50
The Royal Veterinary College,2005,0,0,0,515,230,285,415,55,40,1495,1455,40,1370,35,90
St George's Hospital Medical School,4420,0,0,0,460,100,360,360,30,75,3960,2405,1555,3765,55,140
St Mary's University College-Twickenham,4170,0,0,0,925,415,510,840,80,5,3245,2650,595,3035,185,25
The University of Salford,20095,0,0,0,4225,2010,2215,2420,280,1525,15870,12010,3860,14240,770,855
The School of Oriental and African Studies,4895,0,0,0,2050,1545,500,950,365,735,2845,2745,100,1815,360,670
The School of Pharmacy,1395,0,0,0,655,175,480,510,35,110,740,720,20,625,15,100
Sheffield Hallam University,33830,0,0,0,8275,3110,5160,5665,325,2280,25555,19895,5665,23880,305,1370
The University of Sheffield,24715,0,0,0,7115,5475,1640,3680,570,2870,17600,15665,1930,15745,525,1330
Southampton Solent University,19255,7510,75,7430,740,340,400,415,60,265,11010,9600,1410,9515,730,760
The University of Southampton,22680,0,0,0,5880,4005,1875,3520,555,1805,16800,14715,2085,14865,745,1195
Staffordshire University,16990,0,0,0,3605,1420,2185,2370,80,1155,13385,8655,4730,12670,305,415
University Campus Suffolk,4665,0,0,0,230,25,210,225,5,5,4435,2660,1775,4350,20,60
The University of Sunderland,20150,120,35,85,2870,1880,990,1630,80,1165,17160,8315,8845,14570,635,1955
The University of Surrey,15755,0,0,0,5475,3160,2315,2820,885,1770,10280,8420,1855,8700,840,740
The University of Sussex,12365,0,0,0,2725,1795,930,1640,345,740,9635,8045,1590,8630,545,460
The University of Teesside,27505,535,0,535,3575,1430,2145,2840,100,635,23395,8050,15345,21835,490,1070
Thames Valley University,17110,0,0,0,2075,585,1490,1510,85,480,15035,7455,7580,12750,1155,1130
Trinity Laban Conservatoire of Music and Dance,890,0,0,0,240,160,80,160,40,35,650,645,5,525,90,35
University College London,21210,0,0,0,8800,6080,2720,5375,1340,2080,12415,11820,590,8710,1045,2660
The University of Warwick,28435,0,0,0,9205,3995,5205,5445,1035,2720,19235,11425,7810,15905,1045,2280
