NLC,Origin TLC,Station Name,Location for map,Government Office Region (GOR),County or Unitary Authority,District or Unitary Authority,NUTS2 Spatial_Unit Code,NUTS2 Spatial Unit,Station Facility Owner,Total usage,Percentage change,Interchanges
3801,ACY,Abercynon,CF45 4SE,Wales - Cymru,Rhondda Cynon Taff - Rhondda Cynon Taf,Rhondda Cynon Taff - Rhondda Cynon Taf,UKL1,West Wales and the Valleys,Arriva Trains Wales,240070,12,35304
4435,AVY,Aberdovey,LL35 0NR,Wales - Cymru,Gwynedd - Gwynedd,Gwynedd - Gwynedd,UKL1,West Wales and the Valleys,Arriva Trains Wales,36696,14,0
2448,AGL,Abergele & Pensarn,LL22 7PR,Wales - Cymru,Conwy - Conwy,Conwy - Conwy,UKL1,West Wales and the Valleys,Arriva Trains Wales,84488,10,0
2552,ACR,Accrington,BB5 1QQ,North West,Lancashire,Hyndburn,UKD4,Lancashire,Northern Rail,345648,10,0
2287,ACB,Acton Bridge,CW8 2RE,North West,Cheshire,Vale Royal,UKD2,Cheshire,London Midland Trains,20044,16,0
1404,ACC,Acton Central,W3 0BH,London,Greater London,Ealing,UKI2,Outer London,London Overground,1818014,36,0
1036,ADD,Adderley Park,B9 4TG,West Midlands,West Midlands,Birmingham,UKG3,West Midlands,London Midland Trains,53042,71,0
5160,ADM,Adisham,CT3 3JE,South East,Kent,Canterbury,UKJ4,Kent,Southeastern,32048,-13,0
4614,ALB,Albrighton,WV7 3DS,West Midlands,Shropshire,Bridgnorth,UKG2,Shropshire and Staffordshire,London Midland Trains,104806,32,0
5280,AGT,Aldrington,BN3 5AE,South East,Brighton And Hove,Brighton And Hove,UKJ2,Surrey East & West Sussex,Southern,190956,13,0
9905,AXP,Alexandra Parade,G31 3JN,Scotland,Glasgow City,Glasgow City,UKM3,South Western Scotland,First ScotRail,182224,16,0
8605,ASS,Alness,IV17 0SE,Scotland,Highland,Highland,UKM4,Highlands and Islands,First ScotRail,25496,43,0
7787,ALM,Alnmouth,NE66 2ST,North East,Northumberland,Alnwick,UKC2,Northumberland and Tyne and Wear,Northern Rail,255936,19,1528
1223,ASG,Alsager,ST7 2XW,North West,Cheshire,Congleton,UKD2,Cheshire,East Midlands Trains,85412,15,0
1198,ALV,Alvechurch,B48 7SE,West Midlands,Worcestershire,Bromsgrove,UKG1,Herefordshire Worcestershire and Warwickshire,London Midland Trains,161196,17,0
5250,AMY,Amberley,BN18 9LR,South East,West Sussex,Horsham,UKJ2,Surrey East & West Sussex,Southern,61078,25,0
9965,AND,Anderston,G3 8RR,Scotland,Glasgow City,Glasgow City,UKM3,South Western Scotland,First ScotRail,647180,12,0
5397,ANY,Anerley,SE20 8AG ,London,Greater London,Bromley,UKI2,Outer London,Southern,628650,24,0
9961,AGS,Argyle Street,G2 8DL,Scotland,Glasgow City,Glasgow City,UKM3,South Western Scotland,First ScotRail,1196472,53,0
6171,ARL,Arlesey,SG15 6XA,East,Bedfordshire,Mid Bedfordshire,UKH2,Bedfordshire and Hertforshire,First Capital Connect,503446,13,0
990,ARM,Armadale,EH48 3LP,Scotland,West Lothian,West Lothian,UKM2,Eastern Scotland,First ScotRail,126086,1029,0
1963,ARN,Arnside,LA5 0HQ,North West,Cumbria,South Lakeland,UKD1,Cumbria,First TransPennine Express,102432,-12,0
2941,ABY,Ashburys,M12 5BY,North West,Greater Manchester,Manchester,UKD3,Greater Manchester,Northern Rail,86062,20,0
9953,ASF,Ashfield,G22 6LR,Scotland,Glasgow City,Glasgow City,UKM3,South Western Scotland,First ScotRail,69676,27,0
2790,AHN,Ashton-Under-Lyne,OL7 5LP,North West,Greater Manchester,Tameside,UKD3,Greater Manchester,Northern Rail,581360,12,0
