latitude,ad_fert_rate,hdi_rank,longitude,country,continent
6.61105,106.6,180,20.93930455,Central African Republic,Africa
-29.0461845398,59.2,110,25.0628795624,South Africa,Africa
66.766670227,8.6,1,14.899925232,Norway,Europe
-32.44479091,14.9,2,135.9337909,Australia,Oceania
,5.7,21,,Hong Kong-China (SAR),Asia
-44.05629348,22.6,6,170.3541565,New Zealand,Oceania
39.095963,35.9,3,-101.601563,United States,North America
53.41276818,15.9,7,-8.243890909,Ireland,Europe
52.10985455,3.8,4,5.290918182,Netherlands,Europe
62.39471364,12.8,11,-96.81017727,Canada,North America
62.19973182,7.7,8,17.64017273,Sweden,Europe
51.16562273,7.7,5,10.44940909,Germany,Europe
34.86888636,4.7,10,134.7456364,Japan,Asia
35.90872727,5.5,12,127.8429455,Korea (Republic of),Asia
46.81805,5.5,9,8.227609091,Switzerland,Europe
46.22801818,6.9,14,2.385968182,France,Europe
31.37849091,14.3,15,34.97434545,Israel,Asia
64.94770455,11.4,16,25.54667727,Finland,Europe
64.96305,15.1,17,-19.01892273,Iceland,Europe
50.50506364,7.7,18,4.469931818,Belgium,Europe
56.15395455,6,19,11.62104091,Denmark,Europe
40.3960266,12.1,20,-3.55069256,Spain,Europe
38.33915909,8.9,22,23.93902273,Greece,Europe
41.87187273,4.9,23,12.56920455,Italy,Europe
49.81513636,12.3,24,6.129236364,Luxembourg,Europe
47.71311818,12.8,25,13.34997727,Austria,Europe
55.3993,24.1,26,-3.211109091,United Kingdom,Europe
1.352154545,4.5,27,103.8194455,Singapore,Asia
49.81693636,10.6,28,15.47295909,Czech Republic,Europe
46.15103182,4.9,29,14.99567273,Slovenia,Europe
48.66916364,20.7,31,19.70138636,Slovakia,Europe
24.35860455,16,32,53.98249545,United Arab Emirates,Asia
35.89596818,11.5,33,14.44955,Malta,Europe
58.59367727,21.4,34,25.01572273,Estonia,Europe
35.16444091,6.1,35,33.42795,Cyprus,Europe
47.16225,20.2,36,19.5033,Hungary,Europe
4.535622727,25,37,114.7276727,Brunei Darussalam,Asia
25.35427273,15.9,38,51.18388182,Qatar,Asia
25.93041818,16.7,39,50.62485909,Bahrain,Asia
39.642009735,16.5,40,-8.00942230225,Portugal,Europe
51.91947727,13.9,41,19.14555455,Poland,Europe
13.19381818,42.7,42,-59.54326364,Barbados,North America
23.92221818,53,43,-75.85889545,Bahamas,North America
55.17009545,21.9,44,23.87794545,Lithuania,Europe
-35.78622818,59.6,45,-71.674674987,Chile,South America
-38.41609545,56.9,46,-63.61615455,Argentina,South America
29.31152273,13.2,47,47.48176818,Kuwait,Asia
56.87904545,15.2,48,24.60228636,Latvia,Europe
,14.7,49,,Montenegro,Europe
45.94359545,31.2,50,24.96662273,Romania,Europe
46.53656,14.1,51,16.3489151,Croatia,Europe
-32.52024545,61.1,52,-55.76845455,Uruguay,South America
26.3351,3.2,53,17.23152727,Libyan Arab Jamahiriya,Africa
8.413122727,82.6,54,-80.11431364,Panama,North America
24.26622273,26.1,55,45.11912727,Saudi Arabia,Asia
23.6345,64.8,56,-102.5713909,Mexico,North America
4.10285,12.8,57,109.4588773,Malaysia,Asia
42.73388182,42.2,58,25.48520455,Bulgaria,Europe
10.69295,34.6,67,-61.22121818,Trinidad and Tobago,North America
,22.1,60,,Serbia,Europe
53.70966818,21.3,61,27.95272727,Belarus,Europe
9.619259091,67,62,-84.23639545,Costa Rica,North America
-9.192709091,54.7,77,-75.01452727,Peru,South America
41.15267273,14.2,64,20.17093182,Albania,Europe
63.125187,25.1,65,103.753982544,Russian Federation,Europe
48.01853182,30.7,66,66.92368636,Kazakhstan,Asia
40.48678182,33.8,82,48.22793636,Azerbaijan,Europe
43.91588636,15.9,68,17.68018636,Bosnia and Herzegovina,Europe
48.37887727,28.3,69,31.16509545,Ukraine,Europe
32.42756364,18.3,70,53.68261364,Iran (Islamic Republic of),Asia
41.60742273,21.7,71,21.74489545,The former Yugoslav Republic of Macedonia,Europe
-20.09694545,39.3,80,60.40103182,Mauritius,Africa
-14.23420455,75.6,73,-54.39875455,Brazil,South America
42.31638182,44.7,74,43.35689091,Georgia,Europe
6.423331818,89.9,75,-66.59055909,Venezuela (Bolivarian Republic of),South America
40.0691,35.7,76,45.03735,Armenia,Europe
-1.421528935432,82.8,89,-78.87104034423,Ecuador,South America
17.18987727,78.7,78,-88.49799545,Belize,North America
4.1767,74.3,79,-74.2953,Colombia,South America
18.10985909,77.3,86,-77.29750909,Jamaica,North America
33.7874,6.9,81,9.536940909,Tunisia,Africa
31.28324091,24.5,100,37.13076364,Jordan,Asia
38.96421818,38.8,83,35.24318636,Turkey,Asia
28.03312273,7.3,84,1.659627273,Algeria,Africa
-19.91805909,22.8,85,-174.6334136,Tonga,Oceania
-17.045461654,31.5,96,178.09440613,Fiji,Oceania
38.97108182,19.5,87,58.96053182,Turkmenistan,Asia
18.76749545,108.7,88,-70.16299545,Dominican Republic,North America
35.86131364,9.7,101,104.1942545,China,Asia
13.79418636,82.7,90,-88.90136818,El Salvador,North America
7.873122727,29.8,91,80.79387727,Sri Lanka,Asia
13.04402727,37.3,92,101.4932818,Thailand,Asia
-0.803690909,89.9,93,11.61020909,Gabon,Africa
3.919027273,39.5,94,-56.02875909,Suriname,South America
-16.29015,78.2,95,-63.58865455,Bolivia (Plurinational State of),South America
-23.44076818,72.3,111,-58.44383636,Paraguay,South America
12.22013636,45,97,121.7740182,Philippines,Asia
-22.32881818,52.1,98,24.68486364,Botswana,Africa
,33.8,99,,Moldova (Republic of),Europe
46.86471364,16.6,108,103.8463045,Mongolia,Asia
26.82055455,39,112,30.80131364,Egypt,Africa
41.37779091,12.9,102,64.58251818,Uzbekistan,Asia
,25.4,103,,Micronesia (Federated States of),Oceania
4.861072727,62.7,104,-58.93018182,Guyana,South America
-22.95802273,74.4,105,18.49040909,Namibia,Africa
14.7105,93.1,106,-86.24117273,Honduras,North America
3.193054545,13.4,107,73.25033182,Maldives,Asia
-2.508090909,39.8,121,118.1089818,Indonesia,Asia
41.20618636,32.3,109,74.76554091,Kyrgyzstan,Asia
34.80207727,61.1,116,38.99639545,Syrian Arab Republic,Asia
38.86055,28.4,125,71.27609091,Tajikistan,Asia
15.9417,16.6,113,105.8027955,Viet Nam,Asia
31.7917,18.9,114,-7.093386364,Morocco,Africa
12.86595455,112.7,115,-85.41084091,Nicaragua,North America
15.78347273,107.2,133,-90.23075909,Guatemala,North America
2.346745455,122.8,117,9.889027273,Equatorial Guinea,Africa
16.00173636,94.9,118,-24.01333182,Cape Verde,Africa
21.12572273,68.1,119,82.76238182,India,Asia
-8.801813637,53.8,120,125.6773455,Timor-Leste,Asia
-26.52236364,83.9,141,31.46586818,Swaziland,Africa
18.495138,37.4,122,103.774108886,Lao People's Democratic Republic,Asia
-9.225677273,41.8,123,161.3015682,Solomon Islands,Oceania
12.56567727,39.2,124,104.9914455,Cambodia,Asia
30.37441818,45.7,146,69.34511364,Pakistan,Asia
