latitude,longitude,country,alcohol per capita
33.93904545,67.70995,Afghanistan,0
41.15267273,20.17093182,Albania,2
28.03312273,1.659627273,Algeria,0.2
-11.20269091,17.90784545,Angola,3.9
,,Antigua and Barbuda,5.7
-38.41609545,-63.61615455,Argentina,8.4
40.0691,45.03735,Armenia,1.5
-32.44479091,135.9337909,Australia,9
47.71311818,13.34997727,Austria,11.1
40.48678182,48.22793636,Azerbaijan,4.5
23.92221818,-75.85889545,Bahamas,10.4
25.93041818,50.62485909,Bahrain,7
23.68547727,90.35660909,Bangladesh,0
53.70966818,27.95272727,Belarus,5.5
50.50506364,4.469931818,Belgium,10.6
17.18987727,-88.49799545,Belize,6.3
9.307686364,2.315831818,Benin,1.3
27.51430455,90.43307727,Bhutan,0.2
-16.29015,-63.58865455,Bolivia (Plurinational State of),3.2
43.91588636,17.68018636,Bosnia and Herzegovina,9.1
-22.32881818,24.68486364,Botswana,4.3
-14.23420455,-54.39875455,Brazil,5.8
4.535622727,114.7276727,Brunei Darussalam,0.1
42.73388182,25.48520455,Bulgaria,5.9
12.23923182,-1.561454545,Burkina Faso,5
-3.374809091,29.91909545,Burundi,9.1
12.56567727,104.9914455,Cambodia,1.5
7.369581818,12.35468182,Cameroon,3.8
62.39471364,-96.81017727,Canada,7.8
16.00173636,-24.01333182,Cape Verde,4.8
6.61105,20.93930455,Central African Republic,1.5
15.45454545,18.73234545,Chad,0.3
-36.70375455,-87.93336818,Chile,6.6
35.86131364,104.1942545,China,5.2
4.1767,-74.2953,Colombia,5.7
-11.875,43.87222273,Comoros,0.3
-0.651945454,14.89213636,Congo,2.6
-4.038681818,21.75866364,Congo (Democratic Republic of the),1.9
,,Cook Islands,3.7
9.619259091,-84.23639545,Costa Rica,5.7
,,Cote d'Ivoire,1.8
44.46790909,16.46489545,Croatia,12.3
21.50798636,-79.54209091,Cuba,2.3
35.16444091,33.42795,Cyprus,11.5
49.81693636,15.47295909,Czech Republic,13
56.15395455,11.62104091,Denmark,11.7
11.82527273,42.59013182,Djibouti,1.8
18.76749545,-70.16299545,Dominican Republic,6.7
-1.781263636,-83.44036818,Ecuador,2.4
26.82055455,30.80131364,Egypt,0.2
13.79418636,-88.90136818,El Salvador,3.7
2.346745455,9.889027273,Equatorial Guinea,3.4
15.17938636,39.78233182,Eritrea,0.6
58.59367727,25.01572273,Estonia,9
9.145136364,40.49002273,Ethiopia,0.9
-17.045461654,178.09440613,Fiji,1.7
64.94770455,25.54667727,Finland,9.3
46.22801818,2.385968182,France,11.4
-0.803690909,11.61020909,Gabon,8
13.44318182,-15.31013636,Gambia,2.6
42.31638182,43.35689091,Georgia,1.5
51.16562273,10.44940909,Germany,12
7.941386364,-1.023054545,Ghana,1.6
38.33915909,23.93902273,Greece,9
12.11705,-61.69078636,Grenada,6.7
15.78347273,-90.23075909,Guatemala,1.5
9.935713637,-11.36710455,Guinea,0.2
11.80490909,-15.18083182,Guinea-Bissau,2.2
4.861072727,-58.93018182,Guyana,3.8
19.05711818,-73.04848636,Haiti,8.3
14.7105,-86.24117273,Honduras,2.9
47.16225,19.5033,Hungary,13.6
64.96305,-19.01892273,Iceland,7
