Country,Population,GNI per capita ($US 2007),Number of registered vehicles,Road deaths (reported),Road deaths per 100000 (reported),Road deaths per 100000 (estimated)
Afghanistan,27145275,319,731607,1779,6.6,39.0
Albania,3190012,3290,349646,499,15.6,13.9
Angola,17024084,2560,671060,2358,13.9,37.7
Argentina,39531115,6050,12399887,5281,13.4,13.7
Armenia,3002271,2640,366836,371,12.4,13.9
Australia,20743179,35960,14774921,1616,7.8,7.8
Austria,8360746,42700,5796973,691,8.3,8.3
Azerbaijan,8467167,2550,784018,1195,14.1,13.0
Bahamas,331278,18570,27058,48,14.5,14.5
Bahrain,752648,20610,382977,91,12.1,12.1
Bangladesh,158664959,470,1054057,4108,2.6,12.6
Barbados,293891,11290,126262,36,12.2,12.2
Belarus,9688795,4220,3147625,1517,15.7,15.7
Belgium,10457343,40710,6362161,1067,10.2,10.2
Belize,287699,3800,54225,65,22.6,15.6
Benin,9032787,570,222850,653,7.2,31.2
Bhutan,658479,1770,35703,111,16.9,14.4
Bolivia,9524568,1260,699646,1394,14.6,16.7
Bosnia and Herzegovina,3934816,3790,675063,428,10.9,10.9
Botswana,1881504,5840,293755,482,25.6,33.8
Brazil,191790929,5910,49644025,35155,18.3,18.3
British Virgin Islandsh,23000,43686,14505,5,21.7,21.7
Brunei Darussalam,390056,30580,304432,54,13.8,13.8
Bulgaria,7638831,4590,2628680,1006,13.2,13.2
Burkina Faso,14784291,430,515453,804,5.4,31.1
Burundi,8508232,110,59486,63,0.7,23.4
Cambodia,14443679,540,154389,1668,11.5,12.1
Cameroon,18549176,1050,312259,1069,5.8,28.1
Canada,32876047,39420,20065000,2889,8.8,8.8
Cape Verde,530437,2430,54158,49,9.2,25.1
Central African Republic,4342735,380,5834,565,13.0,32.2
Chad,10780571,540,124088,814,7.6,34.3
Chile,16634760,8350,2824570,2280,13.7,13.7
China,1336317116,2360,145228994,96611,7.2,16.5
Colombia,46155958,3250,4951225,5409,11.7,11.7
Comoros,839187,680,22378,15,1.8,30.3
Congo,3768086,1540,100000,207,5.5,28.8
Cook Islands,13325,13098,10692,6,45.0,45.0
Costa Rica,4467625,5560,797902,688,15.4,15.4
Croatia,4555398,10460,1949936,619,13.6,13.6
Cuba,11267883,4571,658003,964,8.6,8.6
Cyprus,854671,24940,592480,89,10.4,10.4
Czech Republic,10186330,14450,5455110,1222,12.0,12.0
Democratic Republic of the Congo,62635723,140,311781,365,0.6,32.2
Dominican Republic,9759664,3550,2121244,1838,18.8,17.3
Ecuador,13341197,3080,961556,2341,17.5,11.7
Egypt,75497913,1580,4300000,15983,21.2,41.6
El Salvador,6857328,2850,630638,1493,21.8,12.6
Eritrea,4850763,230,60849,81,1.7,48.4
Estonia,1335333,13200,708794,196,14.7,14.7
Ethiopia,83099190,220,244257,2441,2.9,35.0
Fiji,838698,3800,78833,59,7.0,7.0
Finland,5276892,44400,4656370,380,7.2,7.2
France,61647375,38500,39926000,4620,7.5,7.5
Gambia,1708681,320,14450,54,3.2,36.6
Georgia,4395420,2120,567900,737,16.8,16.8
Germany,82599471,38860,55511374,4949,6.0,6.0
Ghana,23478394,590,931642,1856,7.9,29.6
Greece,11146918,29630,7212236,1657,14.9,14.9
Guatemala,13353911,2305,1613796,755,5.7,14.7
Guinea-Bissau,1695043,200,57839,152,9.0,34.4
Guyana,737906,1300,127825,207,28.1,19.9
Honduras,7106001,1600,786682,1266,17.8,13.5
Hungary,10029683,11570,3625386,1232,12.3,12.3
Iceland,301006,54100,293299,30,10.0,10.0
India,1169015509,950,72718000,105725,9.0,16.8
Indonesia,231626978,1650,63318522,16548,7.1,16.2
Iran (Islamic Republic of),71208384,3470,17000000,22918,32.2,35.8
